,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,Yearly_Change,Net_Change,Density,Land_Area,Migrants,Fert._Rate,Med._Age,Urban_Pop_%,World_Share,Time,Time_Code,Country_code,Adolescent_fertility_rate,Agriculture_forestry_and_fishing_value_added,Annual_freshwater_withdrawals_total,Births_attended_by_skilled_health_staff,CO2_emissions,Contraceptive_prevalence_any_methods,Domestic_credit_provided_by_financial_sector,Electric_power_consumption,Energy_use,Exports_of_goods_and_services,External_debt_stocks_total,Fertility_rate_total,Foreign_direct_investment_net_inflows,Forest_area,GDP,GDP_growth,GNI_per_capita_Atlas_method,GNI_per_capita_PPP,GNI_Atlas_method,GNI_PPP,Gross_capital_formation,High-technology_exports,Immunization_measles,Imports_of_goods_and_services,Income_share_held_by_lowest_20%,Industry,Inflation_GDP_deflator,Life_expectancy_at_birth_total,Merchandise_trade,Military_expenditure,Mobile_cellular_subscriptions,Mortality_rate_under-5,Net_barter_terms_of_trade_index,Net_migration,Net_official_development_assistance_and_official_aid_received,Personal_remittances_received,Population_density,Population_growth,Population_total,Poverty_headcount_ratio_at_$1.90_a_day,Poverty_headcount_ratio_at_national_poverty_lines,Prevalence_of_HIV_total,Prevalence_of_underweight_weight_for_age,Primary_completion_rate_total,Revenue_excluding_grants,School_enrollment_primary,School_enrollment_primary_and_secondary,School_enrollment_secondary,Statistical_Capacity_score,Surface_area,Tax_revenue,Terrestrial_and_marine_protected_areas,Time_required_to_start_a_business,Total_debt_service,Urban_population_growth,Access_to_electricity,Adjusted_net_national_income,Cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions,Cause_of_death_by_injury,Cause_of_death_by_non-communicable_diseases,Central_government_debt_total,Cereal_yield,Child_employment_in_agriculture,Children_out_of_school_primary,Children_out_of_school_primary_female,Children_out_of_school_primary_male,Children_with_fever_receiving_antimalarial_drugs,Completeness_of_birth_registration,Condom_use_population_ages_15-24_male,Container_port_traffic,Coverage_of_social_insurance_programs,infection_rate,death_rate
29,Cabo Verde,34,8882,0,95,557026,1.10 %,6052,138,4030,-1342.0,2.3,28,68 %,0.01 %,2015,YR2015,CPV,75.7158,8.73739476188116,..,91.4,0.94340467619387,..,..,..,..,44.9074423095252,1550185095,2.385,96071472.8368678,899.000015258789,1596800287.16405,1.00686370684559,3210,5770,1686241813.64122,3029167495.53556,30.1865941793728,..,92,59.1586466717918,5.7,18.121408318408,1.73626616382883,72.117,42.0215355291368,0.558982325875004,116.527138,19.5,110.2768957,..,153250000,200903517.81206,130.209181141439,1.24142064396034,524743,3.4,35,0.6,..,95.2153625488281,29.1225657249935,105.496841430664,1.01452004909515,94.7211227416992,66.6666666666667,4030,18.7780857967901,..,18,6.22653397691234,2.00660210992691,87.085563659668,1209207130.36322,19.8,10.4,69.8,..,276.5,..,4110,2269,1841,..,..,..,..,..,15945.395726590858,170.54859198672952
30,Cambodia,0,292,0,0,16758448,1.41 %,232423,95,176520,-30000.0,2.5,26,24 %,0.21 %,2015,YR2015,KHM,49.6326,26.5803600137747,..,..,0.555905458747502,..,..,..,..,61.7184237585908,9423813930.8,2.593,1822804151.25712,94570,18049954289.4229,7.03608717929632,1060,3180,16465389427.7753,49377507801.9442,22.4529981979056,1.53524772425235,84,66.1456432379888,..,27.6795721130893,1.71927069193936,68.637,120.792549667432,1.80162262063333,134.3338529,31.6,75.1016426,..,679039978.027344,1185470632.92188,87.9301835486064,1.60370685445754,15521436,..,..,0.6,..,95.5130233764648,16.5784714673939,117.078483581543,..,..,76.6666666666667,181040,14.5828781049436,..,87,5.06463148342792,3.37244824271763,68.8159027099609,14723793536.7496,26.7,10.1,63.2,..,3372,..,82584,28714,53870,..,..,..,392000,..,17.424047859324446,0.0
31,Cameroon,310,22103,3,429,26655083,2.59 %,669483,56,472710,-4800.0,4.6,19,56 %,0.34 %,2015,YR2015,CMR,111.8636,14.772472349771,..,..,0.340283662787024,..,..,..,..,22.2596662186221,7304904667,4.777,694336734.87982,188160,30928653813.8538,5.6514637436283,1440,3210,33536521306.0055,74891827392.5734,22.3960483844417,3.90993551615156,74,27.6095407796239,..,25.181847445134,0.179147100009175,57.583,32.665501902558,1.14443329649881,77.94823655,88.5,142.3775406,..,664119995.117188,241706990.04708,49.2868100949842,2.68179172973963,23298368,..,..,3.7,..,74.1704330444336,16.1265430495245,116.210441589355,0.883459985256195,59.0320892333984,55.5555666666667,475440,12.6128073233581,..,16.5,7.35707247061288,3.79092359269644,58.7187347412109,25182332128.1101,54.8,11.2,34,..,1610.7,..,164168,..,..,..,..,..,380000,..,829.2227039773239,16.09449124581604
32,Canada,2330,236841,43,10179,37799407,0.89 %,331107,4,9093510,242032.0,1.5,41,81 %,0.48 %,2015,YR2015,CAN,9.6298,1.86983594598587,..,..,15.3889503062328,..,..,..,7631.34157027209,31.8499609634443,..,1.563,59986208237.0735,3470690,1556129524418.21,0.659176889011206,47570,43990,1698274514752.15,1570466921580.38,23.8215933948339,15.1747943563935,89,34.3149411035338,..,24.4156825468916,-0.876717569879531,81.9,53.9920351626333,1.15012649687129,82.61933463,5.3,105.3664624,..,..,1274255368.12748,3.92619659515413,0.746339477969813,35702908,..,..,..,..,..,17.8509094964837,102.485076904297,1.00838994979858,110.35652923584,..,9984670,12.3898109063213,..,1.5,..,0.796807975480466,100,1257290966719.35,5.5,6.1,88.4,..,4359.3,..,9238,..,..,..,..,..,5793852,..,6265.733216396756,269.28993886068105
33,Cayman Islands,0,240,0,1,65854,1.19 %,774,274,240,,N.A.,N.A.,97 %,0.00 %,2015,YR2015,CYM,..,0.378694095538705,..,..,9.03026375477934,..,..,..,..,..,..,..,80257843415.3403,126.999998092651,4708336733.46934,2.8331222262961,44370,38100,2738988817.25678,2351877741.07651,..,..,..,..,..,7.00603829734849,0.341900567720671,..,22.3221077738331,..,151.0660359,..,62.93569622,..,..,..,257.183333333333,1.42938830230545,61724,..,..,..,..,..,..,..,..,..,..,263.999996185303,..,..,..,..,1.42938830230545,100,..,..,..,..,..,..,..,..,..,..,..,..,..,54607,..,3644.4255474230877,15.185106447596198
34,Central African Republic,0,4866,0,62,4843954,1.78 %,84582,8,622980,-40000.0,4.8,18,43 %,0.06 %,2015,YR2015,CAF,132.8304,31.5273810283745,..,..,0.0652902071366096,..,..,..,..,17.0676606236635,730703975.1,4.941,3000000,221700,1695825708.45604,4.33712103020234,400,800,1802704296.36793,3580087008.65921,21.8053804538636,5.56138937162431,49,36.0774871532986,..,22.1252513485047,2.70826310785279,50.881,25.4743160128946,1.68608901432654,27.65294881,126.7,78.01943256,..,486730010.986328,..,7.21238241998138,0.647403918742867,4493170,..,..,4.1,..,..,5.66316008874996,..,..,..,52.2222666666667,622980,5.44899138512974,..,22,..,1.44004777058251,24.1092948913574,1413704961.2346,64.7,9.1,26.2,..,883.8,..,..,..,..,..,..,..,..,..,1004.5512405774292,12.799460936251664
35,Chad,1,1499,0,98,16502877,3.00 %,478988,13,1259200,2000.0,5.8,17,23 %,0.21 %,2015,YR2015,TCD,167.942,50.3955822999691,..,20.2,0.0709441409966356,5.7,..,..,..,30.0017608897127,2893640684,6.049,559642022.5287,48750,10950392219.9104,2.7676756848447,880,1760,12409756901.9597,24904346467.7966,28.4591591133766,..,46,36.5624034599938,..,13.6521345659561,-8.48001725832678,53.137,55.9432016404078,2.0188218544744,38.73436811,129.4,126.0483991,..,606409973.144531,..,11.2063016200762,3.22205014713465,14110975,..,..,1.4,29.4,37.4959716796875,..,91.5831298828125,0.69871997833252,22.415060043335,65.5556,1284000,..,..,60,..,3.85922088049919,7.7,8773893814.49201,63.7,9.7,26.7,..,801.9,..,511634,379252,132382,26.9,12,..,..,..,90.83264693786423,5.938358505610871
36,Chile,1324,513188,55,14302,19144605,0.87 %,164163,26,743532,111708.0,1.7,35,85 %,0.25 %,2015,YR2015,CHL,46.152,3.63888345037161,..,99.7,4.63258565848197,..,120.743489149063,..,2005.55106241165,29.3763486014303,..,1.75,20879139388.8964,177350,243919085308.936,2.3037670361239,14130,22000,253957551726.205,395407468276.445,23.7857323367012,6.78371661493198,96,29.595926695772,5.7,29.7760470448938,4.95353806357839,79.646,51.009948582913,1.89848726591422,129.1440655,7.9,189.4362554,..,54330001.8310547,58992215.8381229,24.1675573408594,1.17775747141868,17969353,0.3,11.7,0.4,..,96.9769592285156,21.0190646617364,100.684837341309,0.988600015640259,101.78092956543,95.5555666666667,756096.015625,17.443761832853,..,7.5,..,1.24302725952207,99.714844,190791258381.69,7.5,7.5,85,..,7082.3,..,54386,28819,25567,..,..,..,3738600,44.9127020912868,26805.88082125487,747.0511927511693
37,China,60,92015,0,4746,1440297825,0.39 %,5540090,153,9388211,-348399.0,1.7,38,61 %,18.47 %,2015,YR2015,CHN,7.5318,8.38700911159946,..,99.9,7.39852456644448,..,..,..,..,21.3540804423373,1333777000353,1.665,242489331627.399,2083212.96875,11061552790044.2,7.04185620085329,7940,12930,10894010636899.7,17729511091167.2,43.2348077890341,30.4269567738061,99,18.1100899269382,6.4,40.8413371576327,-0.00343862484470492,75.928,35.7367005793065,1.91045740644745,91.835388,10.7,92.53344984,..,-306290008.544922,44445297189.56,146.057642237226,0.508136747291937,1371220000,0.7,5.7,..,..,..,16.0430234800754,96.318603515625,1.01157999038696,..,70,9562911.25,9.37692069282183,..,29.3,4.90399015520467,2.76955113521558,100,8303087663319.28,3.9,7.1,89,..,5896.2,..,..,..,..,..,..,..,195276750.5,..,63.88609244758111,3.2951518204229737
38,Colombia,9137,1083321,201,31515,50976248,1.08 %,543448,46,1109500,204796.0,1.8,31,80 %,0.65 %,2015,YR2015,COL,69.3178,5.98042480849816,..,95.9,1.98039913875788,81,..,..,..,15.6502115094968,113363407932.3,1.863,11723937065.5305,585017.3828125,293481753078.868,2.95590137527523,7330,13080,348117628177.693,621482821087.166,23.7736922946916,9.85649758241254,94,22.7105526089485,3.8,28.5894478881361,2.44932842052003,76.531,30.5807768484611,3.10996008410671,120.636922,15.6,111.8836168,..,1355859985.35156,4679692947.27143,42.8307048219919,1.16724517905816,47520667,4.7,27.8,0.5,..,100.033050537109,24.1024162766989,115.231887817383,1.0215699672699,94.7192687988281,84.4444333333333,1141748.984375,15.797262655066,..,12,28.2017029532408,1.60574727205709,98.186898,236183039364.854,10.3,15.6,74.1,66.6678191158853,4290,43.33,140666,64430,76236,..,96.8,..,3659300,10.6573571976303,21251.485593839705,618.2291015219481
39,Comoros,0,545,0,7,872695,2.20 %,18715,467,1861,-2000.0,4.2,20,29 %,0.01 %,2015,YR2015,COM,68.989,30.5986282117727,..,..,0.21697555002161,..,..,..,..,10.1361983069761,130562671.9,4.419,4936699.51044482,370,966029542.038859,1.11614058271805,1380,2720,1075497001.11553,2114908310.93723,13.6380402758518,3.17174077981506,90,27.6687537644801,..,10.4084081560234,-0.492155633152166,63.471,23.9123121962152,..,54.64019634,71.9,143.0347299,..,65779998.7792969,131866003.262065,417.74528452598,2.34704106592402,777424,..,..,0.1,..,..,..,..,..,..,42.2221666666667,1861.00006103516,..,..,16,7.24707079946107,2.81191140288062,74.4254531860352,869919482.947875,48.2,10.9,40.9,..,1348.2,..,..,..,..,..,..,..,..,..,624.5022602398318,8.021129948034536
40,Costa Rica,0,109971,0,1385,5102158,0.92 %,46557,100,51060,4200.0,1.8,33,80 %,0.07 %,2015,YR2015,CRI,55.9828,4.95667494783787,..,90,1.54991476553095,77.8,74.5542690966667,..,..,30.8249404773106,23588779506.4,1.806,2955521680.83967,27560,54775994478.5095,3.63173144154423,10400,15860,50407805035.0761,76862312605.2469,18.432820083627,16.9925053494056,93,31.6933559215415,4.3,19.4218068044411,3.77691473758637,79.565,46.9092350483587,0,155.4435575,9,99.90114876,..,111300003.051758,551988507.633386,94.9432824128476,1.08695279543583,4847804,1.5,21.7,0.3,..,99.5866012573242,24.1706210576851,111.297950744629,1.01672005653381,122.786582946777,84.4444333333333,51100,13.6570929886303,..,23,15.8448028421587,2.29242925608703,99.409804,48889163844.9194,6.5,10.4,83.1,..,3831.6,..,8005,4147,3858,..,..,..,1108600,15.67066493,21553.820951840382,271.4537652499197
41,Croatia,1165,52660,32,594,4100719,-0.61 %,-25037,73,55960,-8001.0,1.4,44,58 %,0.05 %,2015,YR2015,HRV,9.6774,3.01092741745561,..,99.9,4.11834868365336,..,..,..,..,46.3797042061137,..,1.4,52276286.8024189,19220,49530641704.2124,2.4371709276448,12970,22870,54515183409.8476,96134586878.9095,20.6169634025717,10.7919493364294,93,46.1600960859121,7.3,21.3646907823466,0.0817883582873122,77.2756097560976,67.626824219302,1.78348380353701,104.3182481,4.9,100.1912106,..,..,2520836136.4903,75.1180128663331,-0.824099163913538,4203604,0.6,19.5,0.1,..,103.484039306641,38.2773376783948,100.579231262207,1.03193998336792,98.6538696289063,80.0000333333333,56590,20.8435907399557,..,22.5,..,-0.410081982186149,100,42077252622.3257,2,5.2,92.8,..,5695,..,1851,..,..,..,..,..,181800,..,12841.650452030486,144.85264657246694
42,Cuba,35,6970,1,129,11325391,-0.06 %,-6867,106,106440,-14400.0,1.6,42,78 %,0.15 %,2015,YR2015,CUB,52.4564,3.83551582064201,..,99.9,2.58233028965417,..,..,..,..,17.1473494542825,..,1.674,..,32000,87133000000,4.43814195922121,7230,..,81915785582.8286,..,9.38909483203838,..,99,14.4663904605603,..,22.3531842126404,3.43960423608975,78.561,17.2747409133164,3.08379144526184,29.45174834,5.6,164.9705523,..,557960021.972656,..,108.871188233032,0.157999771554047,11324781,..,..,0.4,..,97.0762405395508,..,99.4875793457031,0.985199987888336,97.8911514282227,..,109880,..,..,..,..,0.203530155088965,99.439826965332,75036437872.0033,8.3,7.9,83.8,..,2964.6,..,44344,21934,22410,..,..,..,260000,..,615.4312906282883,11.390335221097445
43,Cyprus,197,4760,1,27,1208886,0.73 %,8784,131,9240,5000.0,1.3,37,67 %,0.02 %,2015,YR2015,CYP,4.8136,1.86255661933832,..,..,5.28737063786354,..,..,..,..,70.3258965023065,..,1.354,28960532080.4594,1726.99996948242,19779150116.4984,3.37466850315001,25960,31510,22008146063.4057,26713635284.3923,13.0708464511143,13.1417139402801,90,67.7013249828294,7.8,10.1655538570035,-0.939453940968946,80.35,52.1660432284876,1.65850037819149,130.9823176,2.7,92.2766808,..,..,297848196.40083,125.647727272727,0.752185522592108,1160985,0,16.1,..,..,96.8190612792969,38.2830532741779,99.3001174926758,0.996190011501312,99.7783126831055,..,9250,24.1421021702649,..,8,..,0.625316227314642,100,16977322107.386,4.4,4.4,91.2,..,2683,..,758,332,426,..,..,..,308458,..,3937.509409489398,22.33461219668356
44,Denmark,942,48241,1,724,5795780,0.35 %,20326,137,42430,15200.0,1.8,42,88 %,0.07 %,2015,YR2015,DNK,4.2482,0.957580207871756,..,95.4,5.4222855949424,..,..,..,2816.61456539942,55.4181749794426,..,1.71,1850770714.86075,6122.00012207031,302673068765.972,2.3425904296801,60510,50560,343918872322.536,287382159288.342,20.6312061001811,17.1913411767408,91,48.6300543390148,9.4,19.9874547292305,0.433060776814415,80.7024390243902,59.8269283548354,1.11144613220871,124.4441651,4.1,101.0056563,..,..,1258255662.54991,135.353250773994,0.706423849687002,5683483,0.2,11.9,..,..,98.7380294799805,39.4978539233534,101.456443786621,1.01845002174377,130.251861572266,..,42920,33.9216192935935,..,3.5,..,0.839047238460703,100,260299835979.914,6.3,3.6,90.1,..,6884.7,..,275,94,181,..,..,..,750000,..,8323.469834948877,124.91847516641418
45,Djibouti,10,5573,0,61,990447,1.48 %,14440,43,23180,900.0,2.8,27,79 %,0.01 %,2015,YR2015,DJI,19.9894,1.14830382995016,..,..,0.686063241184561,..,..,..,..,141.458459067973,1226479152.5,2.912,143849876.209768,55.9999990463257,2430287967.02678,7.69608557567065,2730,4850,2495548143.04146,4429309389.07182,26.5347994702448,..,74,122.644565890695,..,11.367567390698,1.89305204795535,64.136,41.3531241414785,..,34.3930424,65.3,99.10027156,..,173389999.389648,39714157.1010578,39.4302415875755,1.68780890005577,913993,..,..,1.1,..,65.5961303710938,..,70.1320419311523,1.00581002235413,46.7604217529297,46.6666666666667,23200,..,..,14,1.2383072069757,1.82092361334007,57.531120300293,2226066066.83248,47,10.2,42.9,..,1904.7,..,35253,14802,20451,..,..,..,910000,..,5626.752365346151,61.588353541380826
46,Dominica,0,50,0,0,72017,0.25 %,178,96,750,,N.A.,N.A.,74 %,0.00 %,2015,YR2015,DMA,..,14.0555757231214,..,96,2.47272522933847,..,..,..,..,47.6339906437715,317214934.8,..,11051185.7333333,433.300018310547,540737037.037037,-2.69110892388451,6870,10690,489270328.922088,761036723.992605,..,..,96,60.9544585921821,..,12.5336474907362,6.82110388187158,..,45.123596736964,..,108.5287217,30.9,104.763062,..,11710000.038147,55928203.9844757,94.9106666666667,0.13776817766526,71183,..,..,..,..,105.953582763672,..,116.191207885742,0.9860600233078,94.2542419433594,52.2222333333333,750,..,..,12,8.67071009892181,0.56694085604623,99.8146362304688,407176675.26749,..,..,..,..,1645.8,..,..,..,..,..,..,..,7361,..,694.2805171001291,0.0
47,Dominican Republic,259,127591,1,2250,10866667,1.01 %,108952,225,48320,-30000.0,2.4,28,85 %,0.14 %,2015,YR2015,DOM,95.5912,5.4846959306391,..,99.6,2.34749515643358,..,46.6652900274805,..,..,23.7615822994205,26727433234.9,2.405,2227300000,19830,71164825256.6849,6.9270187716221,6580,14130,67656539789.5586,145306712788.837,23.4421451651922,4.26016957406945,90,28.4094954177751,5,28.4963681779993,2.47188597709767,73.241,37.0253139875797,0.665687801883187,85.56234973,31.3,109.3756591,..,279959991.455078,5196200000,212.827157938315,1.1395712804884,10281680,1.8,..,1.1,..,99.5260772705078,17.5783889930039,111.40535736084,0.985369980335236,79.9790191650391,78.8889,48670,12.8118479609538,..,14.5,29.8630271628321,2.28656709623827,98.560364,64581202617.1072,16.8,12.1,71.1,..,3101.5,..,52389,28587,23802,..,..,..,1371800,6.60105381746426,11741.502707315869,207.0552083725396
48,Ecuador,368,169562,8,12692,17688599,1.55 %,269392,71,248360,36400.0,2.4,28,63 %,0.23 %,2015,YR2015,ECU,80.6542,9.45485142211309,..,95,2.66904432637019,..,31.0982199121383,..,..,21.2582213779601,28401589260.4,2.499,1322701337.30748,125478.798828125,99290381000,0.0988726083462836,5970,10870,96835408230.7383,176187957730.396,26.8700983230188,7.61618251398897,84,23.9856557706229,4.6,31.8721276736767,-2.49102075763339,76.143,40.1337970492832,2.6160741592884,79.84070461,15.1,158.9334584,..,318160003.662109,2387555892.00259,65.27629247866,1.61788847178684,16212020,3.5,23.3,0.4,..,106.404838562012,..,107.683837890625,1.02245998382568,104.031059265137,72.2222666666667,256370,..,..,50.5,23.6307828175708,1.83421551250242,98.825883,78198832040.7329,14.7,12.8,72.5,..,4323,79.35,18294,..,..,..,94,..,1885032,10.74847528,9585.948553641812,717.5243217396697
49,El Salvador,0,34015,4,983,6491923,0.51 %,32652,313,20720,-40539.0,2.1,28,73 %,0.08 %,2015,YR2015,SLV,71.0814,5.52976674016479,..,99.9,1.0829757645858,..,85.8151255116165,..,..,29.4861730232304,15570377313.2,2.101,494541718.092298,2650,23438240000,2.39502829799937,3440,7240,21762547583.9586,45817642299.8659,16.0169449583245,4.98559452227246,95,47.0741403791411,6.1,25.2888868788783,1.31249192704313,72.412,67.4197380008055,1.06923799718903,147.5723164,15.3,221.5258973,..,89699996.9482422,4274620676.02955,305.266602316602,0.475363827681707,6325124,2,34.9,0.6,..,96.2683792114258,20.8150431413365,102.657569885254,0.978330016136169,75.3354034423828,91.1111333333333,21040,16.7526849094045,..,16.5,18.5797789323215,1.66752164496795,95.4,19475469389.9731,10.9,15.8,73.3,51.2784032678648,2288.1,..,64815,30766,34049,..,..,..,191000,5.251456724,5239.587715381098,151.41892471614344
50,Equatorial Guinea,1,5089,0,83,1410419,3.47 %,46999,50,28050,16000.0,4.6,22,73 %,0.02 %,2015,YR2015,GNQ,160.0836,1.88839087566802,..,..,5.15891929267274,..,..,..,..,56.6584738218082,..,4.774,233325072.8367,15680,13185496836.4124,-9.11004114881537,10850,18130,12677724196.9852,21190569158.2367,24.7014529043977,..,50,42.2195853462674,..,59.1005872679086,-20.1927503678985,57.359,76.0305062780453,1.0414320758195,45.64013391,94,144.8127163,..,7489999.77111816,..,41.6601782531194,4.0420301414799,1168568,..,..,6.7,..,40.7759208679199,26.3646574648791,61.7751502990723,..,..,42.2222333333333,28050,11.4567349338539,..,150,..,4.79964254870268,66.2740325927734,6248767833.4355,53.2,10.8,36,..,..,..,83611,40811,42800,..,..,..,10000,..,3608.147649740964,58.84776084269994
51,Eritrea,17,480,0,0,3554797,1.41 %,49304,35,101000,-39858.0,4.1,19,63 %,0.05 %,2015,YR2015,ERI,55.6586,..,..,..,..,..,..,..,..,..,873287801.3,4.217,49323000,15100,..,..,..,..,..,..,..,..,97,..,..,..,..,64.664,..,..,14.20956809,46.3,78.94334157,..,93919998.1689453,..,..,..,..,..,..,0.7,..,62.8411102294922,..,76.161003112793,0.855459988117218,51.8204193115234,27.7778,117600,..,..,84,..,..,45.7435188293457,..,43.8,11.8,44.4,..,639.8,..,186394,98115,88279,..,..,..,..,..,135.02880755216123,0.0
52,Estonia,61,5046,0,73,1326693,0.07 %,887,31,42390,3911.0,1.6,42,68 %,0.02 %,2015,YR2015,EST,11.0712,2.83730150996898,..,99.5,12.4388527657219,..,..,..,4173.32658257102,76.8734131563936,..,1.58,-715465129.889752,22320,23048864242.6072,1.84488517975394,18680,28750,24576410075.0671,37821991827.8642,24.8194877206304,22.4416766100939,93,72.9681600349145,7.5,23.6900623922907,1.11874587447134,77.590243902439,118.691314730506,2.01133517663246,144.7205063,3.1,94.24876044,..,..,457282652.455694,30.26011042098,0.0655525295417938,1315407,0.6,21.7,..,..,98.7666397094727,35.3778459129597,97.1464080810547,0.997789978981018,111.041427612305,..,45340,21.5133949870117,..,3.5,..,0.280631504498476,100,18841454382.5665,2.8,4.3,92.9,..,4381.6,..,2012,927,1085,..,..,..,208700,..,3803.4420924810793,55.02403344255226
53,Eswatini,4,5929,0,117,1162233,1.05 %,12034,67,17200,-8353.0,3.0,21,30 %,0.01 %,2015,YR2015,SWZ,77.941,9.32179845041641,..,..,0.890142059555597,..,..,..,..,42.9570384552711,367500279.3,3.065,31498094.370293,5860,4073390989.81887,2.31246561581284,4000,8930,4412678810.43641,9859047731.37133,12.4711749771559,0.232631948109832,89,40.8404009434444,..,35.6278901494327,5.84108755171566,55.359,79.147815862954,1.75391005924468,85.23211031,59.2,101.3358936,..,92629997.253418,95771402.3373992,64.1886046511628,0.820626096641609,1104044,..,..,28.9,..,89.1431503295898,..,119.215377807617,0.93545001745224,76.0350494384766,58.8889,17360,..,..,30,1.71489233329165,1.47086813953312,65.8135452270508,3524438271.49466,54.7,9.5,35.8,..,1049.8,..,31776,16453,15323,..,..,..,..,..,5101.386727102054,100.66828252166306
54,Ethiopia,359,96942,11,1489,115434444,2.57 %,2884858,115,1000000,30000.0,4.3,19,21 %,1.47 %,2015,YR2015,ETH,71.2274,36.0569753905786,..,..,0.136045863945994,37.9,..,..,..,9.36331359735926,20519350424.1,4.565,2626517918.313,124990,64589334978.8013,10.3924630202334,600,1650,60070079523.1626,166439956275.808,40.6712729848123,6.7789784539187,56,30.2928105475922,7.3,16.2977936386153,10.8365427789744,65.048,30.3703390140773,0.705413868072999,41.96106195,62.2,137.9119132,..,3238889892.57813,1086986751.24654,100.835458,2.75612778784043,100835458,32.6,23.5,1.1,..,54.1109008789063,9.94334434408776,100.971488952637,0.921459972858429,34.9394683837891,68.8889,1104300,8.35133826701354,..,35,17.4142924819853,4.9942913035533,29,47623707739.7021,51,11.4,37.6,..,2556.1,..,2306559,1394680,911879,..,..,..,..,2.36834901780239,839.801333473742,12.899096217763214
55,Fiji,0,34,0,2,897573,0.73 %,6492,49,18270,-6202.0,2.8,28,59 %,0.01 %,2015,YR2015,FJI,47.973,7.8716240846939,..,99.9,2.48230368155722,..,111.369884625961,..,..,..,888825435,2.8,205373209.116505,10172.0001220703,4682546863.08162,4.66380810435447,5200,11870,4516402772.99778,10308984097.0623,..,1.71356553142189,96,..,..,15.1712702717256,2.37160408269466,67.103,63.5551567772559,0.976968831047817,111.2042338,24.3,109.56989,..,102480003.356934,251175102.715195,47.5438970990695,0.250593763708473,868627,..,..,0.1,..,111.63330078125,25.7114854837254,106.716461181641,..,..,61.1111333333333,18270,23.73875096872,..,58,14.2512719750562,1.18695190395046,95.1486129760742,3988207967.30107,10.3,5.5,84.2,..,3406.4,..,900,598,302,..,..,..,89384,..,37.87992731510417,2.2282310185355403
56,Finland,109,16400,1,359,5542237,0.15 %,8564,18,303890,14000.0,1.5,43,86 %,0.07 %,2015,YR2015,FIN,6.457,2.25370768976039,..,99.9,7.77564229493364,85.4748603351955,..,..,5924.70012488295,35.4069588665232,..,1.65,16849216580.0284,222180,234440080998.273,0.54355926216509,47150,42930,258353047912.482,235221001780.708,21.7129881495849,10.2118773255418,95,35.9755895640656,9.4,23.305816401353,1.61684751349705,81.4804878048781,51.2911441968346,1.45985749123609,134.9395252,2.5,92.76866389,..,..,865475245.852536,18.0301108880919,0.329383885818507,5479531,0.1,11.6,..,..,99.0319213867188,37.3739858551931,100.560791015625,1.05718004703522,150.019866943359,..,338446.015625,20.4707051115264,..,17,..,0.388059711338671,100,192176876415.914,1.2,5.4,93.4,..,3614.3,..,2192,1074,1118,..,..,..,1812381.4,..,2959.0939543004024,64.77528838986856
57,France,52156,1433254,411,37115,65298930,0.22 %,143783,119,547557,36527.0,1.9,42,82 %,0.84 %,2015,YR2015,FRA,5.4954,1.60564438654459,..,97.7,..,..,..,..,3692.01783331053,30.5926223781313,..,1.96,42825414105.9412,169890,2438207896251.84,1.1129123405747,41100,41740,2735457494181.2,2777946957121.9,22.7123240564184,28.3566837468163,91,31.1590715564548,7.9,17.6796917075443,1.13824878533235,82.3219512195122,44.1726893615455,1.87225828127684,103.4564614,4.1,90.89469375,..,..,24066989837.0933,121.536703849107,0.355569240058298,66548272,0.1,13.6,0.3,..,..,44.2874739814559,101.989639282227,1.00341999530792,103.396041870117,..,549086.9921875,23.197715462657,..,4,..,0.683771061907009,100,2056090563019.12,6,6.5,87.5,..,7570,..,21490,8912,12578,..,..,..,5912300,..,21949.119227527925,568.3860363408711
58,French Polynesia,1384,8646,9,38,281191,0.58 %,1621,77,3660,-1000.0,2.0,34,64 %,0.00 %,2015,YR2015,PYF,39.6764,..,..,..,2.8060624478259,..,..,..,..,..,..,1.99,26007149.1590192,1550,..,..,..,..,..,..,..,11.8226971918135,..,..,..,..,..,76.787,..,..,98.24621784,..,87.60330126,..,..,564273664.829532,74.624043715847,0.52089856029638,273124,..,..,..,..,..,..,..,..,..,..,4000,..,..,..,..,0.60191113791256,100,..,..,..,..,..,..,..,..,..,..,..,..,..,69296,..,30747.7835350349,135.13946036679695
59,Gabon,16,8984,0,55,2234448,2.45 %,53155,9,257670,3260.0,4.0,23,87 %,0.03 %,2015,YR2015,GAB,100.2026,4.31162904410146,..,..,2.70174196456718,..,..,..,..,46.0320085043704,5119456818.5,4.064,41707702.3264655,230000,14383107714.0388,3.8788993950789,7970,13480,15530344474.6952,26252661543.3818,29.2309562924902,..,68,27.9177729544577,..,48.1836272956901,-8.92717245327955,64.913,57.5953414568001,1.18502560807756,144.8670371,49.8,144.2263039,..,98779998.7792969,18458042.2530413,7.55883882485349,3.33509878560114,1947686,..,..,3.8,..,..,20.0751681373457,..,..,..,39.9999666666667,267670,12.8300685455322,..,47,8.5689884798093,3.86645425285424,89.6473541259766,10137728459.7298,49.9,9.1,41,..,1600.1,..,..,..,..,..,..,..,518000,..,4020.6798278590495,24.614580424337465
